run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2928.77,2976.34,320.5,12.41,10,72,20.865,True
2,2918.23,2844.98,292.33,8.26,10,71,20.327,True
3,2933.33,2816.24,304.0,14.26,10,73,20.153,True
4,2943.08,2873.1,306.35,11.22,10,72,18.818,True
5,2966.29,2897.92,308.25,11.75,10,73,19.228,True
6,2925.24,2844.45,301.75,12.34,10,72,19.827,True
7,2879.86,2905.89,309.0,17.13,10,73,18.647,True
8,2950.38,2933.95,310.33,14.79,10,74,18.464,True
9,2921.99,2864.4,325.0,23.96,10,71,19.805,True
10,2914.12,2821.57,309.0,14.41,10,72,18.215,True
11,2991.73,2902.35,324.0,24.35,10,72,18.415,True
12,2904.61,2932.15,309.0,15.33,10,72,19.646,True
13,2905.29,2822.88,305.0,15.06,10,72,19.152,True
14,2922.96,2876.12,303.6,12.82,10,72,19.733,True
15,2934.16,2879.8,313.0,17.68,10,74,19.037,True
16,2963.46,2839.1,325.0,27.92,10,72,18.995,True
17,2871.71,2776.22,299.5,12.93,10,72,19.533,True
18,2926.59,2821.7,337.0,37.23,10,71,17.07,True
19,2907.9,2847.97,325.0,22.15,10,71,16.949,True
20,2951.72,2952.16,311.92,12.63,10,74,16.866,True
