dataset,algorithm,seed,vehicle_count,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset A,ACO,7,10,2853.36,300.92,10.55,10,70,51.685,True
Dataset A,ACO,14,10,2801.06,300.25,12.03,10,70,46.431,True
Dataset A,ACO,21,10,2847.03,291.36,4.97,10,70,47.292,True
Dataset A,ACO,28,10,2846.43,298.8,12.31,10,71,47.165,True
Dataset A,ACO,35,10,2794.31,293.2,8.99,10,71,47.197,True
Dataset A,ACO,42,10,2840.57,295.75,8.55,10,71,48.55,True
Dataset A,ACO,49,10,2841.58,306.37,12.3,10,71,47.192,True
Dataset A,ACO,56,10,2829.24,301.8,13.42,10,70,47.817,True
Dataset A,ACO,63,10,2817.67,307.75,11.2,10,70,47.357,True
Dataset A,ACO,70,10,2850.87,304.83,12.29,10,71,47.281,True
Dataset A,ACO,77,10,2837.83,304.47,12.61,10,70,52.625,True
Dataset A,ACO,84,10,2840.54,306.85,11.88,10,71,49.781,True
Dataset A,ACO,91,10,2833.66,297.4,10.39,10,71,52.967,True
Dataset A,ACO,98,10,2837.99,305.02,11.99,10,70,55.51,True
Dataset A,ACO,105,10,2823.64,294.95,11.18,10,71,100.237,True
Dataset A,ACO,112,10,2795.12,297.47,8.94,10,71,94.902,True
Dataset A,ACO,119,10,2841.61,299.82,8.59,10,71,96.422,True
Dataset A,ACO,126,10,2824.14,297.83,9.02,10,71,96.661,True
Dataset A,ACO,133,10,2836.28,296.31,12.32,10,70,103.941,True
Dataset A,ACO,140,10,2820.46,301.03,12.3,10,72,108.789,True
Dataset A,ALNS,7,10,2933.95,314.0,11.46,10,73,12.638,True
Dataset A,ALNS,14,10,2784.52,296.0,12.6,10,73,12.49,True
Dataset A,ALNS,21,10,2986.27,312.34,11.23,10,72,12.995,True
Dataset A,ALNS,28,10,2838.44,301.5,10.07,10,73,10.86,True
Dataset A,ALNS,35,10,2889.3,309.25,11.56,10,71,11.236,True
Dataset A,ALNS,42,10,2853.78,304.5,8.4,10,73,11.746,True
Dataset A,ALNS,49,10,2840.64,308.0,13.1,10,72,12.798,True
Dataset A,ALNS,56,10,2826.24,297.0,14.34,10,72,12.508,True
Dataset A,ALNS,63,10,2848.3,307.75,16.55,10,73,11.839,True
Dataset A,ALNS,70,10,2882.68,304.5,11.45,10,73,10.709,True
Dataset A,ALNS,77,10,2854.88,303.0,13.36,10,73,12.185,True
Dataset A,ALNS,84,10,2802.16,325.0,22.07,10,72,11.169,True
Dataset A,ALNS,91,10,2885.43,302.0,9.25,10,72,12.428,True
Dataset A,ALNS,98,10,2847.33,305.0,11.96,10,71,12.514,True
Dataset A,ALNS,105,10,2833.38,310.0,18.43,10,71,12.302,True
Dataset A,ALNS,112,10,2783.17,302.0,13.21,10,72,12.456,True
Dataset A,ALNS,119,10,2929.18,307.95,10.98,10,74,12.889,True
Dataset A,ALNS,126,10,2765.7,324.0,28.36,10,71,11.549,True
Dataset A,ALNS,133,10,2812.59,302.0,16.32,10,72,11.53,True
Dataset A,ALNS,140,10,2931.42,313.0,9.75,10,73,11.744,True
Dataset A,Hybrid,7,10,2976.34,320.5,12.41,10,72,20.865,True
Dataset A,Hybrid,14,10,2844.98,292.33,8.26,10,71,20.327,True
Dataset A,Hybrid,21,10,2816.24,304.0,14.26,10,73,20.153,True
Dataset A,Hybrid,28,10,2873.1,306.35,11.22,10,72,18.818,True
Dataset A,Hybrid,35,10,2897.92,308.25,11.75,10,73,19.228,True
Dataset A,Hybrid,42,10,2844.45,301.75,12.34,10,72,19.827,True
Dataset A,Hybrid,49,10,2905.89,309.0,17.13,10,73,18.647,True
Dataset A,Hybrid,56,10,2933.95,310.33,14.79,10,74,18.464,True
Dataset A,Hybrid,63,10,2864.4,325.0,23.96,10,71,19.805,True
Dataset A,Hybrid,70,10,2821.57,309.0,14.41,10,72,18.215,True
Dataset A,Hybrid,77,10,2902.35,324.0,24.35,10,72,18.415,True
Dataset A,Hybrid,84,10,2932.15,309.0,15.33,10,72,19.646,True
Dataset A,Hybrid,91,10,2822.88,305.0,15.06,10,72,19.152,True
Dataset A,Hybrid,98,10,2876.12,303.6,12.82,10,72,19.733,True
Dataset A,Hybrid,105,10,2879.8,313.0,17.68,10,74,19.037,True
Dataset A,Hybrid,112,10,2839.1,325.0,27.92,10,72,18.995,True
Dataset A,Hybrid,119,10,2776.22,299.5,12.93,10,72,19.533,True
Dataset A,Hybrid,126,10,2821.7,337.0,37.23,10,71,17.07,True
Dataset A,Hybrid,133,10,2847.97,325.0,22.15,10,71,16.949,True
Dataset A,Hybrid,140,10,2952.16,311.92,12.63,10,74,16.866,True
