run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,3081.1,2933.95,314.0,11.46,10,73,9.975,True
2,2931.78,2784.52,296.0,12.6,10,73,9.721,True
3,3131.39,2986.27,312.34,11.23,10,72,10.124,True
4,2985.45,2838.44,301.5,10.07,10,73,8.994,True
5,3032.45,2889.3,309.25,11.56,10,71,8.975,True
6,3000.62,2853.78,304.5,8.4,10,73,9.239,True
7,2985.95,2840.64,308.0,13.1,10,72,9.908,True
8,2971.68,2826.24,297.0,14.34,10,72,9.704,True
9,2995.95,2848.3,307.75,16.55,10,73,9.323,True
10,3029.82,2882.68,304.5,11.45,10,73,8.52,True
11,3002.21,2854.88,303.0,13.36,10,73,9.683,True
12,2948.37,2802.16,325.0,22.07,10,72,8.519,True
13,3030.35,2885.43,302.0,9.25,10,72,9.608,True
14,2990.52,2847.33,305.0,11.96,10,71,9.652,True
15,2977.23,2833.38,310.0,18.43,10,71,9.249,True
16,2928.49,2783.17,302.0,13.21,10,72,9.671,True
17,3078.27,2929.18,307.95,10.98,10,74,9.857,True
18,2910.54,2765.7,324.0,28.36,10,71,8.846,True
19,2958.22,2812.59,302.0,16.32,10,72,9.195,True
20,3078.4,2931.42,313.0,9.75,10,73,9.493,True
