dataset,algorithm,fitness,seed,vehicle_count,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset A,ACO,2994.41,7,10,2853.36,300.92,10.55,10,70,45.725,True
Dataset A,ACO,2942.26,14,10,2801.06,300.25,12.03,10,70,45.972,True
Dataset A,ACO,2987.53,21,10,2847.03,291.36,4.97,10,70,45.758,True
Dataset A,ACO,2989.66,28,10,2846.43,298.8,12.31,10,71,45.686,True
Dataset A,ACO,2937.21,35,10,2794.31,293.2,8.99,10,71,46.92,True
Dataset A,ACO,2983.43,42,10,2840.57,295.75,8.55,10,71,45.95,True
Dataset A,ACO,2984.81,49,10,2841.58,306.37,12.3,10,71,45.923,True
Dataset A,ACO,2970.58,56,10,2829.24,301.8,13.42,10,70,44.974,True
Dataset A,ACO,2958.79,63,10,2817.67,307.75,11.2,10,70,44.515,True
Dataset A,ACO,2994.1,70,10,2850.87,304.83,12.29,10,71,45.622,True
Dataset A,ACO,2979.09,77,10,2837.83,304.47,12.61,10,70,45.601,True
Dataset A,ACO,2983.73,84,10,2840.54,306.85,11.88,10,71,45.235,True
Dataset A,ACO,2976.7,91,10,2833.66,297.4,10.39,10,71,44.838,True
Dataset A,ACO,2979.19,98,10,2837.99,305.02,11.99,10,70,44.908,True
Dataset A,ACO,2966.75,105,10,2823.64,294.95,11.18,10,71,45.419,True
Dataset A,ACO,2938.01,112,10,2795.12,297.47,8.94,10,71,63.564,True
Dataset A,ACO,2984.47,119,10,2841.61,299.82,8.59,10,71,84.384,True
Dataset A,ACO,2967.05,126,10,2824.14,297.83,9.02,10,71,86.1,True
Dataset A,ACO,2977.52,133,10,2836.28,296.31,12.32,10,70,84.419,True
Dataset A,ACO,2965.69,140,10,2820.46,301.03,12.3,10,72,83.937,True
Dataset A,ALNS,3081.1,7,10,2933.95,314.0,11.46,10,73,9.975,True
Dataset A,ALNS,2931.78,14,10,2784.52,296.0,12.6,10,73,9.721,True
Dataset A,ALNS,3131.39,21,10,2986.27,312.34,11.23,10,72,10.124,True
Dataset A,ALNS,2985.45,28,10,2838.44,301.5,10.07,10,73,8.994,True
Dataset A,ALNS,3032.45,35,10,2889.3,309.25,11.56,10,71,8.975,True
Dataset A,ALNS,3000.62,42,10,2853.78,304.5,8.4,10,73,9.239,True
Dataset A,ALNS,2985.95,49,10,2840.64,308.0,13.1,10,72,9.908,True
Dataset A,ALNS,2971.68,56,10,2826.24,297.0,14.34,10,72,9.704,True
Dataset A,ALNS,2995.95,63,10,2848.3,307.75,16.55,10,73,9.323,True
Dataset A,ALNS,3029.82,70,10,2882.68,304.5,11.45,10,73,8.52,True
Dataset A,ALNS,3002.21,77,10,2854.88,303.0,13.36,10,73,9.683,True
Dataset A,ALNS,2948.37,84,10,2802.16,325.0,22.07,10,72,8.519,True
Dataset A,ALNS,3030.35,91,10,2885.43,302.0,9.25,10,72,9.608,True
Dataset A,ALNS,2990.52,98,10,2847.33,305.0,11.96,10,71,9.652,True
Dataset A,ALNS,2977.23,105,10,2833.38,310.0,18.43,10,71,9.249,True
Dataset A,ALNS,2928.49,112,10,2783.17,302.0,13.21,10,72,9.671,True
Dataset A,ALNS,3078.27,119,10,2929.18,307.95,10.98,10,74,9.857,True
Dataset A,ALNS,2910.54,126,10,2765.7,324.0,28.36,10,71,8.846,True
Dataset A,ALNS,2958.22,133,10,2812.59,302.0,16.32,10,72,9.195,True
Dataset A,ALNS,3078.4,140,10,2931.42,313.0,9.75,10,73,9.493,True
Dataset A,Hybrid,2929.35,7,10,2900.23,312.27,10.51,10,72,3.812,True
Dataset A,Hybrid,2885.5,14,10,2909.95,309.5,14.2,10,73,4.375,True
Dataset A,Hybrid,2922.74,21,10,2875.46,304.97,11.3,10,73,4.199,True
Dataset A,Hybrid,2915.08,28,10,2903.56,315.93,11.21,10,73,5.265,True
Dataset A,Hybrid,2926.07,35,10,2935.14,311.88,14.17,10,74,7.487,True
Dataset A,Hybrid,2902.94,42,10,2904.5,303.0,11.96,10,73,7.976,True
Dataset A,Hybrid,2918.58,49,10,2876.71,302.22,9.24,10,73,7.181,True
Dataset A,Hybrid,2913.54,56,10,2888.65,310.0,14.83,10,71,8.227,True
Dataset A,Hybrid,2940.45,63,10,2938.65,316.83,12.33,10,72,7.624,True
Dataset A,Hybrid,2903.03,70,10,2810.84,301.0,14.03,10,72,7.791,True
Dataset A,Hybrid,2930.27,77,10,2917.91,312.89,13.25,10,74,7.232,True
Dataset A,Hybrid,2884.69,84,10,2857.22,302.98,12.16,10,74,7.815,True
Dataset A,Hybrid,2921.5,91,10,2993.23,324.37,15.25,10,73,7.445,True
Dataset A,Hybrid,2923.85,98,10,2967.07,318.6,12.43,10,71,7.96,True
Dataset A,Hybrid,2900.19,105,10,2878.59,304.21,10.31,10,72,6.622,True
Dataset A,Hybrid,2928.26,112,10,2824.09,300.35,10.61,10,72,8.458,True
Dataset A,Hybrid,2891.17,119,10,2782.87,325.0,29.03,10,70,7.78,True
Dataset A,Hybrid,2918.37,126,10,2983.34,318.6,13.83,10,72,7.825,True
Dataset A,Hybrid,2905.54,133,10,2796.29,317.23,21.37,10,72,8.227,True
Dataset A,Hybrid,2897.15,140,10,2901.39,328.0,17.79,10,74,7.774,True
